Name,Rank,Salary,Year,Draft Year,Draft Round,Draft Pick Position,Position,School
Shaquille O'Neal,1,"$17,142,000",2000,1992,1,1,C,LSU 
Kevin Garnett,2,"$16,806,000",2000,1995,1,5,PF,Farragut Academy HS
Alonzo Mourning,3,"$15,004,000",2000,1992,1,2,C,Georgetown 
Juwan Howard,4,"$15,000,000",2000,1994,1,5,PF,Michigan
Scottie Pippen,5,"$14,795,000",2000,1987,1,5,SF,Central Arkansas
Karl Malone,6,"$14,000,000",2000,1985,1,13,PF,Louisiana Tech
Larry Johnson,7,"$11,910,000",2000,1991,1,1,PF,UNLV
Gary Payton,8,"$11,020,000",2000,1990,1,2,PG,Oregon State
Rasheed Wallace,9,"$10,800,000",2000,1995,1,4,PF,North Carolina
Shawn Kemp,10,"$10,780,000",2000,1989,1,17,PF/C,Trinity Valley CC
Damon Stoudamire,11,"$10,125,000",2000,1995,1,7,PG,Arizona
Antonio McDyess,12,"$9,900,000",2000,1995,1,2,PF,Alabama
Ray Allen,14,"$9,000,000",2000,1996,1,5,G,Connecticut
Antoine Walker,14,"$9,000,000",2000,1996,1,6,F,Kentucky
Stephon Marbury,14,"$9,000,000",2000,1996,1,4,G,Georgia Tech
Vlade Divac,16,"$8,837,000",2000,1989,1,26,C,KK Partizan 
Bryant Reeves,17,"$8,666,000",2000,1995,1,6,C,Oklahoma State
Tom Gugliotta,18,"$8,558,000",2000,1992,1,6,PF,NC State 
Elden Campbell,20,"$7,975,000",2000,1990,1,27,PF/C,Clemson
Terrell Brandon,21,"$7,400,000",2000,1991,1,11,PG,Oregon
Derrick Coleman,22,"$7,370,000",2000,1990,1,1,PF/C,Syracuse
Glenn Robinson,23,"$7,250,000",2000,1994,1,1,SF,Purdue
Steve Smith,24,"$7,200,000",2000,1991,1,5,SG,Michigan State
Kerry Kittles,25,"$7,166,000",2000,1996,1,8,G,Villanova
Theo Ratliff,27,"$7,031,000",2000,1995,1,18,PF/C,Wyoming
Matt Geiger,28,"$6,889,000",2000,1992,2,42,C,Georgia Tech
Jason Kidd,29,"$6,858,000",2000,1994,1,2,PG,California
Kenny Anderson,30,"$6,680,000",2000,1991,1,2,PG,Georgia Tech
Tyrone Hill,31,"$6,422,000",2000,1990,1,11,PF,Xavier
Jamal Mashburn,33,"$5,600,000",2000,1993,1,4,SF,Kentucky
Steve Nash,34,"$5,500,000",2000,1996,1,15,G,Santa Clara
Alan Henderson,35,"$5,318,000",2000,1995,1,16,PF,Indiana
Donyell Marshall,36,"$5,250,000",2000,1994,1,4,SF,Connecticut
Marcus Camby,36,"$5,250,000",2000,1996,1,2,C,Massachusetts
Greg Ostertag,38,"$5,200,000",2000,1995,1,28,C,Kansas
Luc Longley,39,"$5,175,000",2000,1991,1,7,C,New Mexico
Jermaine O'Neal,41,"$5,075,000",2000,1996,1,17,F/C,Eau Claire HS 
Erick Dampier,42,"$4,988,000",2000,1996,1,10,C,Mississippi State
Wesley Person,43,"$4,900,000",2000,1994,1,23,SG,Auburn
Isaac Austin,44,"$4,819,000",2000,1991,2,48,C,Arizona State
Loy Vaught,45,"$4,810,000",2000,1990,1,13,PF,Michigan
Robert Horry,47,"$4,800,000",2000,1992,1,11,SF,Alabama 
Derrick McKey,47,"$4,800,000",2000,1987,1,9,SF/PF,Alabama
Jim McIlvaine,47,"$4,800,000",2000,1994,2,32,C,Marquette
Jerry Stackhouse,49,"$4,781,000",2000,1995,1,3,SG,North Carolina
Charlie Ward,50,"$4,540,000",2000,1994,1,26,PG,Florida State
Dale Davis,51,"$4,490,000",2000,1991,1,13,PF,Clemson
Lorenzen Wright,52,"$4,400,000",2000,1996,1,7,C,Memphis
Mookie Blaylock,53,"$4,200,000",2000,1989,1,12,PG,Oklahoma 
Chris Mills,53,"$4,200,000",2000,1993,1,22,SF,Arizona
Bryon Russell,57,"$4,000,000",2000,1993,2,45,SF,Long Beach State
Brent Barry,58,"$3,960,000",2000,1995,1,15,SG,Oregon State
Jason Caffey,59,"$3,937,000",2000,1995,1,20,PF,Alabama
Vitaly Potapenko,60,"$3,810,000",2000,1996,1,12,C,Wright State
Bob Sura,61,"$3,760,000",2000,1995,1,17,SG,Florida State
